"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2000;;"pump_borehole";"Access to pump/borehole";"p";;;"AL";;;"0.5";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"pump_borehole";"Access to pump/borehole";"p";;;"AL";;;"0.4";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"pump_borehole";"Access to pump/borehole";"p";;;"AZ";;;"2.5";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"pump_borehole";"Access to pump/borehole";"p";;;"AZ";;;"4.1";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"pump_borehole";"Access to pump/borehole";"p";;;"BA";;;"0.4";"Urban numbers 1.0 data";"Slum dwellers"
1994;;"pump_borehole";"Access to pump/borehole";"p";;;"BD";;;62;"Urban numbers 1.0 data";"Slum dwellers"
1996;;"pump_borehole";"Access to pump/borehole";"p";;;"BD";;;60;"Urban numbers 1.0 data";"Slum dwellers"
1999;;"pump_borehole";"Access to pump/borehole";"p";;;"BD";;;"68.6";"Urban numbers 1.0 data";"Slum dwellers"
2004;;"pump_borehole";"Access to pump/borehole";"p";;;"BD";;;"67.9";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"pump_borehole";"Access to pump/borehole";"p";;;"BD";;;"87.4";"Urban numbers 1.0 data";"Slum dwellers"
1999;;"pump_borehole";"Access to pump/borehole";"p";;;"BF";;;"8.2";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"pump_borehole";"Access to pump/borehole";"p";;;"BI";;;0;"Urban numbers 1.0 data";"Slum dwellers"
1996;;"pump_borehole";"Access to pump/borehole";"p";;;"BJ";;;"4.8";"Urban numbers 1.0 data";"Slum dwellers"
2001;;"pump_borehole";"Access to pump/borehole";"p";;;"BJ";;;"4.9";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"pump_borehole";"Access to pump/borehole";"p";;;"BJ";;;"7.1";"Urban numbers 1.0 data";"Slum dwellers"
2004;;"pump_borehole";"Access to pump/borehole";"p";;;"BO";;;"0.9";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"pump_borehole";"Access to pump/borehole";"p";;;"BZ";;;"0.1";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pump_borehole";"Access to pump/borehole";"p";;;"CD";;;"0.5";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"pump_borehole";"Access to pump/borehole";"p";;;"CM";;;"10.6";"Urban numbers 1.0 data";"Slum dwellers"
1991;;"pump_borehole";"Access to pump/borehole";"p";;;"CM";;;"2.3";"Urban numbers 1.0 data";"Slum dwellers"
1998;;"pump_borehole";"Access to pump/borehole";"p";;;"CM";;;"1.9";"Urban numbers 1.0 data";"Slum dwellers"
2004;;"pump_borehole";"Access to pump/borehole";"p";;;"CM";;;6;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"pump_borehole";"Access to pump/borehole";"p";;;"CO";;;"0.8";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"pump_borehole";"Access to pump/borehole";"p";;;"EG";;;"0.1";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"pump_borehole";"Access to pump/borehole";"p";;;"GE";;;"0.6";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"pump_borehole";"Access to pump/borehole";"p";;;"GH";;;"7.2";"Urban numbers 1.0 data";"Slum dwellers"
1993;;"pump_borehole";"Access to pump/borehole";"p";;;"GH";;;"3.7";"Urban numbers 1.0 data";"Slum dwellers"
1998;;"pump_borehole";"Access to pump/borehole";"p";;;"GH";;;"3.2";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"pump_borehole";"Access to pump/borehole";"p";;;"GM";;;"1.2";"Urban numbers 1.0 data";"Slum dwellers"
1995;;"pump_borehole";"Access to pump/borehole";"p";;;"GT";;;"6.1";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"pump_borehole";"Access to pump/borehole";"p";;;"HT";;;"8.6";"Urban numbers 1.0 data";"Slum dwellers"
1991;;"pump_borehole";"Access to pump/borehole";"p";;;"ID";;;"16.8";"Urban numbers 1.0 data";"Slum dwellers"
1994;;"pump_borehole";"Access to pump/borehole";"p";;;"ID";;;"20.2";"Urban numbers 1.0 data";"Slum dwellers"
1997;;"pump_borehole";"Access to pump/borehole";"p";;;"ID";;;"23.1";"Urban numbers 1.0 data";"Slum dwellers"
1992;;"pump_borehole";"Access to pump/borehole";"p";;;"IN";;;"18.1";"Urban numbers 1.0 data";"Slum dwellers"
