"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2000;;"improved_pit_latrine";"Access to improved pit latrine";"p";;;"AL";;;"0.3";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_pit_latrine";"Access to improved pit latrine";"p";;;"AM";;;3;"Urban numbers 1.0 data";"Slum dwellers"
2000;;"improved_pit_latrine";"Access to improved pit latrine";"p";;;"AZ";;;"1.4";"Urban numbers 1.0 data";"Slum dwellers"
1992;;"improved_pit_latrine";"Access to improved pit latrine";"p";;;"BF";;;"1.4";"Urban numbers 1.0 data";"Slum dwellers"
1999;;"improved_pit_latrine";"Access to improved pit latrine";"p";;;"BF";;;"0.8";"Urban numbers 1.0 data";"Slum dwellers"
2003;;"improved_pit_latrine";"Access to improved pit latrine";"p";;;"BF";;;"14.6";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_pit_latrine";"Access to improved pit latrine";"p";;;"BI";;;"4.8";"Urban numbers 1.0 data";"Slum dwellers"
2001;;"improved_pit_latrine";"Access to improved pit latrine";"p";;;"BJ";;;"30.2";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_pit_latrine";"Access to improved pit latrine";"p";;;"BJ";;;"27.3";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_pit_latrine";"Access to improved pit latrine";"p";;;"BY";;;"0.5";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_pit_latrine";"Access to improved pit latrine";"p";;;"BZ";;;"0.9";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"improved_pit_latrine";"Access to improved pit latrine";"p";;;"CD";;;"28.3";"Urban numbers 1.0 data";"Slum dwellers"
1999;;"improved_pit_latrine";"Access to improved pit latrine";"p";;;"CD";;;"3.7";"Urban numbers 1.0 data";"Slum dwellers"
2002;;"improved_pit_latrine";"Access to improved pit latrine";"p";;;"CD";;;"24.5";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_pit_latrine";"Access to improved pit latrine";"p";;;"CI";;;"9.2";"Urban numbers 1.0 data";"Slum dwellers"
