"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2000;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"AL";;;"98.4";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"AL";;;"98.8";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"AM";;;"90.3";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"AM";;;95;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"AZ";;;"75.1";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"AZ";;;"55.9";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"BA";;;"97.8";"Urban numbers 1.0 data";"Slum dwellers"
1994;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"BD";;;"49.4";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"BD";;;"50.8";"Urban numbers 1.0 data";"Slum dwellers"
1999;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"BD";;;"35.1";"Urban numbers 1.0 data";"Slum dwellers"
2004;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"BD";;;05/29/14;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"BD";;;"36.3";"Urban numbers 1.0 data";"Slum dwellers"
1992;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"BF";;;07/04/14;"Urban numbers 1.0 data";"Slum dwellers"
1999;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"BF";;;09/03/14;"Urban numbers 1.0 data";"Slum dwellers"
2003;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"BF";;;09/08/14;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"BI";;;01/26/14;"Urban numbers 1.0 data";"Slum dwellers"
2001;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"BJ";;;03/06/14;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"BJ";;;01/08/14;"Urban numbers 1.0 data";"Slum dwellers"
1994;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"BO";;;"54.3";"Urban numbers 1.0 data";"Slum dwellers"
1998;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"BO";;;"45.1";"Urban numbers 1.0 data";"Slum dwellers"
2004;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"BO";;;"59.3";"Urban numbers 1.0 data";"Slum dwellers"
1991;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"BR";;;"78.1";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"BR";;;"62.4";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"BY";;;"88.3";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"BZ";;;86;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"CD";;;"78.2";"Urban numbers 1.0 data";"Slum dwellers"
1991;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"CD";;;"62.7";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"CD";;;"64.7";"Urban numbers 1.0 data";"Slum dwellers"
1999;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"CD";;;"67.3";"Urban numbers 1.0 data";"Slum dwellers"
2002;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"CD";;;"69.7";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"CI";;;"29.2";"Urban numbers 1.0 data";"Slum dwellers"
1994;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"CI";;;03/29/14;"Urban numbers 1.0 data";"Slum dwellers"
1998;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"CI";;;07/24/14;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"CM";;;07/18/14;"Urban numbers 1.0 data";"Slum dwellers"
1991;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"CM";;;14;"Urban numbers 1.0 data";"Slum dwellers"
1998;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"CM";;;01/18/14;"Urban numbers 1.0 data";"Slum dwellers"
2004;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"CM";;;01/14/14;"Urban numbers 1.0 data";"Slum dwellers"
2000;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"CO";;;"94.9";"Urban numbers 1.0 data";"Slum dwellers"
1995;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"CO";;;"94.9";"Urban numbers 1.0 data";"Slum dwellers"
1990;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"CO";;;94;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"CO";;;"97.9";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"EG";;;"72.6";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"EG";;;"62.6";"Urban numbers 1.0 data";"Slum dwellers"
1995;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"EG";;;"52.4";"Urban numbers 1.0 data";"Slum dwellers"
1992;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"EG";;;"50.1";"Urban numbers 1.0 data";"Slum dwellers"
2003;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"EG";;;"68.9";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"ET";;;09/06/14;"Urban numbers 1.0 data";"Slum dwellers"
2000;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"ET";;;09/01/14;"Urban numbers 1.0 data";"Slum dwellers"
2000;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"GA";;;"30.2";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"GE";;;"83.1";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"GH";;;06/23/14;"Urban numbers 1.0 data";"Slum dwellers"
1993;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"GH";;;06/15/14;"Urban numbers 1.0 data";"Slum dwellers"
1998;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"GH";;;04/18/14;"Urban numbers 1.0 data";"Slum dwellers"
2003;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"GH";;;02/21/14;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"GM";;;"38.4";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"GN";;;7;"Urban numbers 1.0 data";"Slum dwellers"
1999;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"GN";;;07/07/14;"Urban numbers 1.0 data";"Slum dwellers"
1995;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"GT";;;"64.7";"Urban numbers 1.0 data";"Slum dwellers"
1998;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"GT";;;71;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"GY";;;"70.2";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"GY";;;"70.6";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"HT";;;08/08/14;"Urban numbers 1.0 data";"Slum dwellers"
1994;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"HT";;;05/11/14;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"HT";;;04/14/14;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"ID";;;"86.3";"Urban numbers 1.0 data";"Slum dwellers"
1991;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"ID";;;"76.1";"Urban numbers 1.0 data";"Slum dwellers"
1994;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"ID";;;"63.6";"Urban numbers 1.0 data";"Slum dwellers"
1997;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"ID";;;"70.5";"Urban numbers 1.0 data";"Slum dwellers"
2002;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"ID";;;"82.8";"Urban numbers 1.0 data";"Slum dwellers"
1992;;"improved_flush_toilet";"Access to improved flush toilet";"p";;;"IN";;;"60.1";"Urban numbers 1.0 data";"Slum dwellers"
