"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2000;;"bottle_water";"Access to bottled water";"p";;;"AL";;;"0.7";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"bottle_water";"Access to bottled water";"p";;;"AL";;;"13.2";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"bottle_water";"Access to bottled water";"p";;;"AM";;;"0.1";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"bottle_water";"Access to bottled water";"p";;;"AZ";;;"0.2";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"bottle_water";"Access to bottled water";"p";;;"AZ";;;"0.3";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"bottle_water";"Access to bottled water";"p";;;"BA";;;"3.9";"Urban numbers 1.0 data";"Slum dwellers"
1999;;"bottle_water";"Access to bottled water";"p";;;"BF";;;"0.1";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"bottle_water";"Access to bottled water";"p";;;"BI";;;"0.2";"Urban numbers 1.0 data";"Slum dwellers"
2001;;"bottle_water";"Access to bottled water";"p";;;"BJ";;;"0.1";"Urban numbers 1.0 data";"Slum dwellers"
1991;;"bottle_water";"Access to bottled water";"p";;;"BR";;;"1.6";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"bottle_water";"Access to bottled water";"p";;;"BR";;;"4.1";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"bottle_water";"Access to bottled water";"p";;;"BY";;;"0.8";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"bottle_water";"Access to bottled water";"p";;;"BZ";;;"54.8";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"bottle_water";"Access to bottled water";"p";;;"CD";;;"66.8";"Urban numbers 1.0 data";"Slum dwellers"
1991;;"bottle_water";"Access to bottled water";"p";;;"CD";;;"14.2";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"bottle_water";"Access to bottled water";"p";;;"CD";;;37;"Urban numbers 1.0 data";"Slum dwellers"
1999;;"bottle_water";"Access to bottled water";"p";;;"CD";;;"55.1";"Urban numbers 1.0 data";"Slum dwellers"
2002;;"bottle_water";"Access to bottled water";"p";;;"CD";;;"66.8";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"bottle_water";"Access to bottled water";"p";;;"CI";;;"0.2";"Urban numbers 1.0 data";"Slum dwellers"
1994;;"bottle_water";"Access to bottled water";"p";;;"CI";;;"0.1";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"bottle_water";"Access to bottled water";"p";;;"CM";;;"0.7";"Urban numbers 1.0 data";"Slum dwellers"
1991;;"bottle_water";"Access to bottled water";"p";;;"CM";;;"5.5";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"bottle_water";"Access to bottled water";"p";;;"CO";;;"4.4";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"bottle_water";"Access to bottled water";"p";;;"EG";;;"0.2";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"bottle_water";"Access to bottled water";"p";;;"EG";;;"0.2";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"bottle_water";"Access to bottled water";"p";;;"GA";;;"0.1";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"bottle_water";"Access to bottled water";"p";;;"GE";;;"0.1";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"bottle_water";"Access to bottled water";"p";;;"GH";;;"0.4";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"bottle_water";"Access to bottled water";"p";;;"GM";;;"0.4";"Urban numbers 1.0 data";"Slum dwellers"
1995;;"bottle_water";"Access to bottled water";"p";;;"GT";;;"18.2";"Urban numbers 1.0 data";"Slum dwellers"
1998;;"bottle_water";"Access to bottled water";"p";;;"GT";;;"25.5";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"bottle_water";"Access to bottled water";"p";;;"GY";;;"28.2";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"bottle_water";"Access to bottled water";"p";;;"GY";;;"30.2";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"bottle_water";"Access to bottled water";"p";;;"HT";;;"2.1";"Urban numbers 1.0 data";"Slum dwellers"
1994;;"bottle_water";"Access to bottled water";"p";;;"HT";;;"0.9";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"bottle_water";"Access to bottled water";"p";;;"HT";;;"8.5";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"bottle_water";"Access to bottled water";"p";;;"ID";;;"17.3";"Urban numbers 1.0 data";"Slum dwellers"
2002;;"bottle_water";"Access to bottled water";"p";;;"ID";;;"6.2";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"bottle_water";"Access to bottled water";"p";;;"IN";;;"0.9";"Urban numbers 1.0 data";"Slum dwellers"
