"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1992;;"children_with_diarrhea_non_slum";"Proportion of children with diarrhea in last two weeks – Non-slum";"p";"Non-slum";;"Egypt";;;11/04/14;"Global_UNHABITAT-DHS";"Slum dwellers"
1995;;"children_with_diarrhea_non_slum";"Proportion of children with diarrhea in last two weeks – Non-slum";"p";"Non-slum";;"Egypt";;;"14.1720963477";"Global_UNHABITAT-DHS";"Slum dwellers"
2000;;"children_with_diarrhea_non_slum";"Proportion of children with diarrhea in last two weeks – Non-slum";"p";"Non-slum";;"Egypt";;;"5.5938618926";"Global_UNHABITAT-DHS";"Slum dwellers"
2003;;"children_with_diarrhea_non_slum";"Proportion of children with diarrhea in last two weeks – Non-slum";"p";"Non-slum";;"Egypt";;;"16.5379996813";"Global_UNHABITAT-DHS";"Slum dwellers"
1992;;"children_with_diarrhea_non_slum";"Proportion of children with diarrhea in last two weeks – Non-slum";"p";"Non-slum";;"Morocco";;;09/07/14;"Global_UNHABITAT-DHS";"Slum dwellers"
2004;;"children_with_diarrhea_non_slum";"Proportion of children with diarrhea in last two weeks – Non-slum";"p";"Non-slum";;"Morocco";;;10/09/14;"Global_UNHABITAT-DHS";"Slum dwellers"
1996;;"children_with_diarrhea_non_slum";"Proportion of children with diarrhea in last two weeks – Non-slum";"p";"Non-slum";;"Benin";;;"06/15/14";"Global_UNHABITAT-DHS";"Slum dwellers"
2001;;"children_with_diarrhea_non_slum";"Proportion of children with diarrhea in last two weeks – Non-slum";"p";"Non-slum";;"Benin";;;09/03/14;"Global_UNHABITAT-DHS";"Slum dwellers"
2006;;"children_with_diarrhea_non_slum";"Proportion of children with diarrhea in last two weeks – Non-slum";"p";"Non-slum";;"Benin";;;07/03/14;"Global_UNHABITAT-DHS";"Slum dwellers"
1992;;"children_with_diarrhea_non_slum";"Proportion of children with diarrhea in last two weeks – Non-slum";"p";"Non-slum";;"Burkina Faso";;;"08/15/14";"Global_UNHABITAT-DHS";"Slum dwellers"
1999;;"children_with_diarrhea_non_slum";"Proportion of children with diarrhea in last two weeks – Non-slum";"p";"Non-slum";;"Burkina Faso";;;"03/18/14";"Global_UNHABITAT-DHS";"Slum dwellers"
2003;;"children_with_diarrhea_non_slum";"Proportion of children with diarrhea in last two weeks – Non-slum";"p";"Non-slum";;"Burkina Faso";;;"06/20/14";"Global_UNHABITAT-DHS";"Slum dwellers"
1994;;"children_with_diarrhea_non_slum";"Proportion of children with diarrhea in last two weeks – Non-slum";"p";"Non-slum";;"Central African Republic";;;"05/15/14";"Global_UNHABITAT-DHS";"Slum dwellers"
2004;;"children_with_diarrhea_non_slum";"Proportion of children with diarrhea in last two weeks – Non-slum";"p";"Non-slum";;"Chad";;;"06/25/14";"Global_UNHABITAT-DHS";"Slum dwellers"
1996;;"children_with_diarrhea_non_slum";"Proportion of children with diarrhea in last two weeks – Non-slum";"p";"Non-slum";;"Comoros";;;"07/19/14";"Global_UNHABITAT-DHS";"Slum dwellers"
1994;;"children_with_diarrhea_non_slum";"Proportion of children with diarrhea in last two weeks – Non-slum";"p";"Non-slum";;"Côte d’Ivoire";;;23;"Global_UNHABITAT-DHS";"Slum dwellers"
2000;;"children_with_diarrhea_non_slum";"Proportion of children with diarrhea in last two weeks – Non-slum";"p";"Non-slum";;"Côte d’Ivoire";;;"07/13/14";"Global_UNHABITAT-DHS";"Slum dwellers"
2000;;"children_with_diarrhea_non_slum";"Proportion of children with diarrhea in last two weeks – Non-slum";"p";"Non-slum";;"Ethiopia";;;"9.6774753422";"Global_UNHABITAT-DHS";"Slum dwellers"
2004;;"children_with_diarrhea_non_slum";"Proportion of children with diarrhea in last two weeks – Non-slum";"p";"Non-slum";;"Ethiopia";;;04/02/14;"Global_UNHABITAT-DHS";"Slum dwellers"
2005;;"children_with_diarrhea_non_slum";"Proportion of children with diarrhea in last two weeks – Non-slum";"p";"Non-slum";;"Ethiopia";;;"6.8280477057";"Global_UNHABITAT-DHS";"Slum dwellers"
2000;;"children_with_diarrhea_non_slum";"Proportion of children with diarrhea in last two weeks – Non-slum";"p";"Non-slum";;"Gabon";;;"02/15/14";"Global_UNHABITAT-DHS";"Slum dwellers"
1993;;"children_with_diarrhea_non_slum";"Proportion of children with diarrhea in last two weeks – Non-slum";"p";"Non-slum";;"Ghana";;;"07/14/14";"Global_UNHABITAT-DHS";"Slum dwellers"
1999;;"children_with_diarrhea_non_slum";"Proportion of children with diarrhea in last two weeks – Non-slum";"p";"Non-slum";;"Ghana";;;"17.7443822037";"Global_UNHABITAT-DHS";"Slum dwellers"
2003;;"children_with_diarrhea_non_slum";"Proportion of children with diarrhea in last two weeks – Non-slum";"p";"Non-slum";;"Ghana";;;11;"Global_UNHABITAT-DHS";"Slum dwellers"
1999;;"children_with_diarrhea_non_slum";"Proportion of children with diarrhea in last two weeks – Non-slum";"p";"Non-slum";;"Guinea";;;"03/15/14";"Global_UNHABITAT-DHS";"Slum dwellers"
